lon,lat,date,outage_freq
67.67146515,39.25535144,2016-12-18,1
67.67146515,39.25535144,2016-12-19,2
67.67146515,39.25535144,2016-12-20,2
67.67146515,39.25535144,2016-12-21,2
67.67146515,39.25535144,2016-12-22,2
67.67146515,39.25535144,2016-12-23,2
67.67146515,39.25535144,2016-12-24,2
67.67146515,39.25535144,2016-12-25,2
67.67146515,39.25535144,2016-12-26,2
67.67146515,39.25535144,2016-12-27,2
67.67146515,39.25535144,2016-12-28,2
67.67146515,39.25535144,2016-12-29,2
67.67146515,39.25535144,2016-12-30,2
67.67146515,39.25535144,2017-01-01,2
67.67146515,39.25535144,2017-01-02,2
67.67146515,39.25535144,2017-01-03,2
67.67146515,39.25535144,2017-01-04,2
67.67146515,39.25535144,2017-01-05,2
67.67146515,39.25535144,2017-01-06,2
67.67146515,39.25535144,2017-01-07,2
67.67146515,39.25535144,2017-01-09,2
67.67146515,39.25535144,2017-01-10,2
67.67146515,39.25535144,2017-01-11,2
67.67146515,39.25535144,2017-01-12,2
67.67146515,39.25535144,2017-01-13,2
67.67146515,39.25535144,2017-01-14,2
67.67146515,39.25535144,2017-01-15,1
67.67146515,39.25535144,2017-01-16,1
67.67146515,39.25535144,2017-01-17,1
67.67146515,39.25535144,2017-01-18,1
67.67146515,39.25535144,2017-01-19,2
67.67146515,39.25535144,2017-01-20,1
67.67146515,39.25535144,2017-01-21,1
67.67146515,39.25535144,2017-01-22,2
67.67146515,39.25535144,2017-01-23,2
67.67146515,39.25535144,2017-01-24,1
67.67146515,39.25535144,2017-01-25,1
67.67146515,39.25535144,2017-01-26,1
67.67146515,39.25535144,2017-01-27,1
67.67146515,39.25535144,2017-01-28,1
67.67146515,39.25535144,2017-01-29,1
67.67146515,39.25535144,2017-02-01,1
67.67146515,39.25535144,2017-03-20,1
67.67146515,39.25535144,2017-03-21,1
67.67146515,39.25535144,2017-03-23,1
67.98130548,37.30840119,2016-11-05,1
67.98130548,37.30840119,2016-11-07,1
67.98130548,37.30840119,2016-11-09,1
67.98130548,37.30840119,2016-11-13,2
67.98130548,37.30840119,2016-11-16,2
67.98130548,37.30840119,2016-11-17,2
67.98130548,37.30840119,2016-11-19,2
67.98130548,37.30840119,2016-11-20,1
67.98130548,37.30840119,2016-11-22,1
67.98130548,37.30840119,2016-11-23,1
67.98130548,37.30840119,2016-11-27,2
67.98130548,37.30840119,2016-12-02,2
67.98130548,37.30840119,2016-12-03,2
67.98130548,37.30840119,2016-12-04,1
67.98130548,37.30840119,2016-12-07,2
67.98130548,37.30840119,2016-12-08,2
67.98130548,37.30840119,2016-12-09,2
67.98130548,37.30840119,2016-12-10,2
67.98130548,37.30840119,2016-12-13,2
67.98130548,37.30840119,2016-12-20,2
67.98130548,37.30840119,2016-12-23,1
67.98130548,37.30840119,2016-12-24,1
67.98130548,37.30840119,2016-12-28,2
67.98130548,37.30840119,2016-12-29,2
67.98130548,37.30840119,2016-12-30,1
67.98130548,37.30840119,2017-01-05,2
67.98130548,37.30840119,2017-01-12,2
67.98130548,37.30840119,2017-01-13,1
67.98130548,37.30840119,2017-01-15,2
67.98130548,37.30840119,2017-01-16,2
67.98130548,37.30840119,2017-01-17,2
67.98130548,37.30840119,2017-01-23,2
67.98130548,37.30840119,2017-01-24,2
67.98130548,37.30840119,2017-01-26,2
67.98130548,37.30840119,2017-01-28,2
67.98130548,37.30840119,2017-01-30,2
67.98130548,37.30840119,2017-01-31,2
67.98130548,37.30840119,2017-02-01,1
67.98130548,37.30840119,2017-02-03,2
67.98130548,37.30840119,2017-02-04,2
67.98130548,37.30840119,2017-02-05,2
67.98130548,37.30840119,2017-02-07,1
67.98130548,37.30840119,2017-02-08,2
67.98130548,37.30840119,2017-02-09,2
67.98130548,37.30840119,2017-02-11,1
67.98130548,37.30840119,2017-02-13,1
67.98130548,37.30840119,2017-02-14,2
67.98130548,37.30840119,2017-02-15,2
67.98130548,37.30840119,2017-02-16,2
67.98130548,37.30840119,2017-02-18,2
67.98130548,37.30840119,2017-02-19,2
67.98130548,37.30840119,2017-02-20,2
67.98130548,37.30840119,2017-02-22,2
67.98130548,37.30840119,2017-02-24,2
67.98130548,37.30840119,2017-03-11,2
67.98130548,37.30840119,2017-03-12,1
67.98130548,37.30840119,2017-03-17,2
67.98130548,37.30840119,2017-03-23,1
68.1425386,37.26728663,2016-11-03,1
68.1425386,37.26728663,2016-11-04,2
68.1425386,37.26728663,2016-11-05,2
68.1425386,37.26728663,2016-11-06,2
68.1425386,37.26728663,2016-11-07,2
68.1425386,37.26728663,2016-11-08,2
68.1425386,37.26728663,2016-11-09,1
68.1425386,37.26728663,2016-11-10,2
68.1425386,37.26728663,2016-11-11,2
68.1425386,37.26728663,2016-11-12,2
68.1425386,37.26728663,2016-11-13,2
68.1425386,37.26728663,2016-11-14,3
68.1425386,37.26728663,2016-11-15,3
68.1425386,37.26728663,2016-11-16,3
68.1425386,37.26728663,2016-11-17,3
68.1425386,37.26728663,2016-11-18,3
68.1425386,37.26728663,2016-11-19,3
