ClusterId,lon,lat,avg_duration_hrs
1,68.76761352,38.64647594,0.7297048469688885
2,68.774906,38.564038000000004,1.9116153236006161
3,68.7935655,38.59964447,2.091670577591433
4,68.72877443,38.57967732,2.0377031254903084
5,68.74031481,38.57471938,0.7620500125288963
7,68.74557007,38.55727731,0.7589351769433254
9,68.75332267,38.55576436,0.705189542537877
10,68.76331505,38.51701626,1.5395703933920957
12,68.84520185,38.56253998,0.6541297931046521
13,68.78840009999999,38.55603113,2.13837301482757
14,68.81596074,38.55906902,1.3975852810668652
15,68.86685625,38.6767802,2.851428652491495
16,68.54355895,38.53150235,2.746504902405376
17,68.61052693,38.61767572,3.22288416097476
18,68.48375532,38.56839889,3.4961495574201065
19,68.52237609,38.5038854,2.773264140834394
20,68.52939437,38.55873364,4.654263203296894
21,38.53356644,68.86214562,3.8481020753235615
22,68.72045866,38.49543076,1.8966495169664834
23,68.79487933,38.43434449,3.1716437748952906
24,68.76780296,38.42989909,3.6861316644579514
25,68.25983787,38.541487200000006,0.31270334627175833
26,68.18750132,38.48957339,2.550370703321777
27,68.32935054,38.62285729,2.801882560805576
29,68.33198449,38.53176612,1.329605507117068
30,69.01548721,38.55209124,1.8012207119926802
31,68.95720896,38.60003017,3.5934913710220013
32,68.97934982,38.57005028,0.5406166128408258
33,68.96713296,38.52478685,3.2406048336494164
34,68.96256182,38.49564397,2.638423144321896
35,69.07583472,38.56390512,4.335976876089227
36,69.01519291,38.51117298,0.549044439415137
37,69.00756093,38.63505835,3.7953622791889474
38,69.07644209,38.59496787,5.213824044868637
39,69.31359849,38.52606983,3.2281245737665833
40,69.23020602,38.53039006,5.285968492997093
41,69.60020189,38.69467064,2.502058160083691
42,69.881006,38.805994,3.0646992731876423
43,69.910987,38.940771999999996,1.6229746459253782
44,70.235062,39.095214,3.2353244240451775
45,70.628691,39.147376,3.3264688531386746
46,70.505438,38.996127,5.090408641318012
47,70.09071,38.995396,4.029792368129291
48,71.90834100000001,39.201392999999996,0.005555555721124013
49,71.409352,39.349395,1.5198191479614638
50,68.77796122,37.84467432,1.2286180454382505
51,68.77390882,37.84206577,0.3149828814393576
52,68.65960657,37.7954733,5.002104157672704
53,68.79994079999999,37.8346545,1.9605843859265484
54,68.52974017,37.62056332,3.178854417830057
55,68.73884439,37.69947193,4.654456481037504
56,68.74439172,37.81553283,2.65045565712277
57,68.69857778,37.9799092,4.059587198501498
58,68.71908336,38.02825677,3.5172400554176058
59,68.75694527,37.80499072,2.2307361529394973
60,68.85812916,37.78894028,2.5887316298694056
61,68.80761501,38.07205583,2.4549653489094827
62,68.77436286,37.94562745,1.7230913951745008
63,68.75491381,37.9556626,1.6648302700468602
64,68.87067983,38.24035306,3.3445268512378994
65,69.02856188,38.20481524,3.609310916881755
66,69.04057484,38.25519148,2.4960178129242276
67,68.6569064,37.58924053,3.4886658178356624
68,68.5832346,37.63572102,3.752347643889519
69,68.68688940000001,37.35688317,3.870058580959075
70,68.6400463,37.459768,3.433515526964589
71,68.6462805,37.40372895,3.6608744831620452
72,68.4508572,37.23293107,3.2205607282052613
73,69.08546113,37.24364286,3.952037830773283
74,69.10959662,37.22181688,4.180415412758354
75,69.09934775,37.25032806,3.220779444340279
76,68.1425386,37.26728663,3.4738110617348292
77,68.14991287,37.2103631,4.030970622365517
79,68.47415879,37.57594376,6.766521129863431
80,68.19332619,37.41367716,3.792459348937682
81,67.98130548,37.30840119,0.7890187679387309
82,69.76746055,37.88558084,2.0838496136975806
83,69.86078544,38.05089098,3.208069098384924
84,69.75446875,37.87022935,1.5139286878425704
85,69.75333527,37.83212437,3.2859237435483197
86,69.76269966,37.88144998,2.1719675675412087
87,69.63650438,37.7953963,2.5104029544102726
88,69.55226138,37.7778347,3.4089666302961708
89,69.57080277,37.88867035,2.428908842079087
90,70.04056817,37.84226291,5.177625837798497
91,69.84031209999999,37.91703144,3.022000942529369
92,69.39582162,37.49128418,2.993806886929931
93,69.42917184,37.57537252,4.57879079173275
94,69.38576119,37.529461100000006,2.1808641560798945
95,69.32308828,38.38970314,1.8472035156539042
96,69.2479133,38.402536700000006,1.831980016097308
97,69.75608917,38.35540909,1.6733899604161415
99,69.8388807,38.32252795,1.8768237290617007
100,69.48918127,38.20394327,1.4557173799353142
101,69.52344847,38.23299811,2.350461228480845
102,69.52373659,38.23247809,3.5955522513391696
103,69.59013445,40.2894689,0.5501579134166499
105,69.61698954,40.28236385,1.1855852470167376
106,69.64377666,40.28142836,1.4758454098865617
107,69.70756918,40.22811016,4.204342239304897
108,70.43029,41.0000255,2.04837839029072
110,69.80406909,40.23579195,4.414956202968119
111,69.65226746,40.28255265,5.702000864697826
112,69.90162882,40.35025138,5.9138744653738815
113,69.945693,40.432452000000005,4.575330835525164
114,69.74909834,40.21390409,4.974724321253978
115,69.67319595,40.25527461,3.5925342441764756
117,69.81074747,40.1972635,4.5482841803579275
118,69.31297571,40.42845521,3.0964739017238045
119,69.30387624,40.48528505,2.3150069849330848
120,70.31951771,40.57288773,1.997419058265241
121,70.31425664,40.64793346,2.0158554866254983
122,70.31488099,40.67285066,1.7346997998837836
123,69.11725818,39.74065623,1.8231682494550931
124,69.11302042,40.03337271,10.035136388853575
125,69.33312537,40.17681836,2.1826685175634504
126,69.45667544,40.16107849,3.7660874818228995
127,68.66963983,40.14156389,1.5775299985467215
128,68.6559113,39.71858992,1.1585509075139422
129,68.78582668,39.79105106,1.083039942587163
130,68.95339277,39.88734071,1.7990154980948703
131,69.02904727,39.97079798,2.8077379987338174
